NORAD_CAT_ID,RCS
1564,0.0527
1566,0.0421
1570,0.341
1571,0.3453
1572,0.3179
1573,0.3564
1574,0.5348
1576,0.041
1577,0.2489
1580,0.5906
1583,0.654
1584,0.5763
1585,0.3528
1586,0.3282
1587,0.3455
1588,0.5559
1590,0.0374
1591,0.0599
1597,0.1121
1600,0.0954
1608,0.0197
1613,0.4921
1616,0.9836
1617,0.2194
1618,0.1053
1620,10.2338
1625,10.9583
1633,0.26
1634,0.0768
1640,0.9665
1641,0.7628
1643,0.21
1644,0.0483
1645,0.266
1647,0.35
1649,0.1091
1650,0.2069
1651,0.4799
1652,0.0679
1653,0.613
1654,0.1106
1656,0.1456
1662,3.1937
1663,0.3709
1664,0.5034
1665,0.1955
1666,0.3271
1667,0.1835
1670,0.5435
1671,0.1494
1672,0.1602
1673,0.286
1675,0.0395
1676,0.1007
1677,0.32
1678,0.1332
1679,0.1447
1681,0.8344
1682,0.389
1685,0.3203
1686,0.63
1687,0.2722
1688,0.0749
1689,0.1397
1690,0.2644
1693,0.3997
1695,0.0928
1697,2.8578
1709,0.178
1712,0.1195
1715,2.42
1718,0.2691
1719,0.1593
1721,0.0702
1722,0.0717
1723,0.1371
1725,0.2589
1729,0.6032
1738,0.3703
1739,0.4742
1746,0.032
1747,0.1607
1748,0.2244
1749,0.1922
1751,0.0811
1752,0.1223
1753,0.2223
1755,0.1754
1756,0.2017
1757,0.0471
1759,0.1706
1761,0.2128
1764,0.114
1769,0.0408
1770,1.1499
1778,0.387
1804,0.9848
1806,0.5874
1808,1.0497
1809,0.66
1814,0.546
1815,0.5208
1819,0.1397
1820,0.088
1822,5.5345
1825,0.0798
1827,0.2591
1828,0.4142
1829,0.0453
1830,0.1252
1832,0.2671
1833,0.1135
1835,0.0105
1836,0.343
1841,0.0035
1843,8.6733
1844,10.7376
1857,0.1754
1859,0.17
1861,0.0895
1865,0.5895
1868,8.2418
1869,10.8384
1870,6.358
1881,0.39
1883,0.0423
1884,0.2994
1887,0.1022
1898,0.0348
1913,0.1635
1914,0.0128
1915,0.0536
1916,0.2086
1917,0.1456
1918,0.0269
1919,0.1075
1920,0.0198
1922,0.192
1929,0.0546
1931,0.05
1932,0.0096
1934,0.103
1935,0.1272
1937,0.3481
1942,0.0632
1943,0.0098
1944,1.0472
1948,0.1059
1951,0.1072
1953,0.566
1957,0.117
1958,0.0545
1959,0.0195
1960,0.1287
1961,0.0477
1962,0.3183
1963,0.14
1964,0.0779
1967,6.515
1973,0.2153
1974,0.1562
1975,0.0182
1976,0.0868
1977,0.0643
1978,0.0582
1981,0.0423
1982,0.6705
1983,0.572
1986,0.1153
1992,0.0834
1993,0.0626
1994,0.4878
1995,0.18
1996,0.0569
1997,0.31
2001,0.0051
2004,1.07
2009,0.2222
2010,0.0161
2011,0.0248
2013,0.0244
2017,0.7269
2023,0.1095
2042,0.0661
2044,0.0215
2050,0.0647
2051,0.0522
2079,0.0671
2082,0.1284
2083,0.4436
2084,0.03
2085,0.0538
2086,0.0421
2087,0.0181
2088,0.0303
2091,0.765
2092,0.1
2096,0.5033
2097,0.0121
2101,0.0168
2118,0.04
2120,0.5831
2121,0.5055
2122,0.9518
2123,0.942
2124,0.909
2125,0.6052
2126,0.0055
2129,0.8666
2131,0.0016
2132,0.0058
2140,0.048
2141,0.043
2145,0.3775
2150,0.7756
2153,0.098
2154,0.0171
2161,0.0406
2167,1.012
2168,16.7729
2169,11.3307
2177,0.041
2178,0.0493
2179,0.04
2180,0.617
2183,0.6511
2192,0.13
2201,0.8019
2206,0.7736
2207,0.8912
2208,0.0042
2209,0.13
2215,0.1781
2216,0.2925
2217,0.1
2218,0.2152
2219,9.8962
2220,0.2099
2221,0.3981
2222,2.1676
2223,0.0675
2224,0.0781
2225,0.046
2226,0.05
2253,1.3945
2254,15.14
2257,12.67
2258,0.003
2301,0.11
2324,1.1144
2327,0.2745
2328,0.9659
2329,0.1072
2334,0.0712
2335,0.0037
2337,0.368
2353,0.048
2359,0.1812
2360,0.1372
2361,0.4453
2362,0.2454
2363,0.1583
2364,0.3744
2365,0.3538
2366,0.1292
2367,0.1348
2371,0.1186
2372,0.2378
2373,0.22
2374,0.1626
2375,0.151
2377,0.1954
2378,0.2746
2379,0.1273
2380,0.1867
2381,0.284
2384,0.13
2385,0.27
2386,0.047
2389,0.697
2397,0.04
2404,1.2153
2411,0.2636
2412,0.394
2413,0.557
2418,0.5634
2428,6.3254
2431,0.2337
2432,0.158
2435,0.7561
2436,0.5071
2496,0.1765
2497,0.0119
2498,0.0286
2514,1.3535
2516,0.0525
2518,0.0777
2520,0.3522
2522,2.5
2524,0.39
2529,0.578
2530,0.1714
2531,0.1737
2532,0.1355
2580,0.0098
2608,5.0118
2610,0.6445
2611,1.8072
2620,0.0644
2638,0.0386
2639,3.1622
2643,0.8125
2644,0.049
2645,0.1941
2647,0.0567
2649,0.3561
2650,0.3419
2651,0.1995
2652,0.003
2653,0.7944
2654,0.5011
2655,0.3981
2657,0.7499
2661,0.6383
2669,0.6204
2674,0.5003
2680,0.6213
2683,0.0113
2684,0.048
2685,0.047
2688,0.0113
2689,0.2245
2692,0.2004
2695,13.1175
2696,19.5258
2699,0.1626
2700,0.0494
2701,0.0193
2702,0.0526
2703,1.8056
2706,0.0702
2707,0.0637
2717,3.5481
2720,4.4416
2721,16.0873
2746,0.77
2755,0.2624
2757,0.788
2758,0.4953
2762,12.1183
2763,15.3839
2765,0.003
2766,0.003
2767,0.003
2768,0.003
2770,3.1698
2775,0.0763
2777,0.039
2778,0.049
2780,2.0068
2786,0.1622
2787,0.0456
2788,0.0513
2789,0.0362
2790,0.0555
2791,0.1182
2794,0.128
2795,0.0236
2796,0.236
2798,0.058
2799,0.0558
2800,0.0402
2811,0.5799
2823,0.1445
2826,0.403
2828,0.864
2834,0.708
2847,0.1694
2861,0.4066
2862,0.2511
2863,0.4156
2864,0.1596
2865,0.289
2866,2.5562
2867,1.9471
2868,1.6554
2872,0.321
2873,0.6253
2874,0.6606
2876,0.6012
2877,0.7371
2886,0.0123
2887,0.0546
2888,0.0488
2889,0.054
2897,1.4355
2899,0.0064
2900,0.0067
2901,0.754
2909,0.0631
2911,0.25
2920,0.6163
2924,6.967
2929,0.0189
2930,0.0977
2932,0.17
2933,0.0995
2934,0.0587
2949,0.2126
2950,0.102
2967,0.4018
2969,2.5118
2971,1.572
2976,0.0638
2977,0.0712
2980,0.6001
2986,0.0774
2988,0.0499
2989,0.051
2990,0.0063
2991,0.0808
2994,0.0097
2997,0.2016
2998,0.1545
3000,2.1489
3004,0.721
3010,14.0174
3011,20.1742
3019,8.7513
3021,6.1168
3023,16.891
3029,2.8889
3035,0.763
3036,0.5324
3038,0.1053
3039,0.1668
3045,0.0449
3046,0.137
3050,0.1295
3051,0.0843
3064,0.1604
3065,0.1503
3094,0.5056
3103,0.2063
3121,0.003
3122,0.0594
3123,0.0884
3124,0.0227
3125,0.0132
3126,0.0568
3127,0.0571
3132,0.1439
3133,0.9662
3137,0.595
3138,1.2589
3141,1.3694
3145,0.7943
3146,0.8058
3147,0.0066
3150,15.2977
3151,14.894
3164,0.0179
3166,0.146
3173,0.6496
3174,0.6183
3176,0.0274
3177,0.92
3213,0.0474
3214,0.0505
3231,0.065
3235,0.0936
3239,0.1174
3240,0.31
3244,0.0689
3248,0.2496
3250,0.11
3255,0.304
3257,0.1826
3263,0.18
3266,0.598
3267,0.029
3282,19.083
3283,12.3138
3284,0.1995
3285,0.003
3286,0.2068
3287,0.003
3288,0.0794
3289,0.3981
3290,0.1752
3291,0.326
3292,2.514
3315,0.7718
3324,0.28
3328,0.1269
3331,0.1413
3337,10.371
3341,0.7181
3342,0.01
3343,0.073
3345,0.7883
3347,7.7899
3349,17.3501
3355,0.06
3356,0.0479
3357,0.0993
3358,0.0237
3359,0.1775
3361,0.0829
3362,0.0828
3363,0.0934
3364,0.0774
3365,0.0178
3366,0.0473
3367,0.054
3369,0.16
3370,0.0927
3371,0.0543
3372,0.1194
3373,0.0782
3374,0.0019
3376,0.095
3377,0.0188
3378,0.0953
3379,0.0264
3380,0.0999
3381,0.0444
3382,0.0412
3383,0.09
3384,0.0913
3386,0.0613
3387,0.0467
3390,0.0489
3391,0.0677
3392,0.0193
3393,0.049
3394,0.58
3400,0.112
3402,0.0207
3403,0.1072
3407,0.0115
3411,0.0173
3416,0.0659
3417,0.0763
3420,0.0035
3423,0.0647
3424,0.0133
3425,0.032
3426,0.0126
3427,0.014
3428,0.581
3430,0.003
3431,3.1622
3432,1.592
3433,0.0491
3434,0.0416
3435,0.1231
3437,0.0529
3439,0.0261
3440,0.0471
3441,0.0411
3443,0.0745
3444,0.0186
3445,0.0582
3446,0.0289
3447,0.094
3448,0.1404
3454,0.0391
3455,0.0527
3456,0.0822
3461,0.1357
3462,0.0517
3463,0.0622
3464,0.0939
3466,0.0336
3467,0.0897
3468,0.0732
3478,0.1006
3481,0.0183
3483,0.0346
3488,0.0648
3490,0.0186
3491,0.0318
3492,0.0506
3494,0.0722
3496,0.059
3497,0.0872
3498,0.068
3499,0.0275
3502,0.0341
3503,9.0535
3506,0.3821
3507,0.6632
3508,0.2655
3509,0.033
3510,0.5891
3518,0.0332
3519,0.0297
3520,0.03
3523,0.0609
3524,0.0997
3525,0.06
3526,6.8021
3527,23.2639
3534,0.6356
3547,9.376
3549,0.0193
3550,0.0753
3551,0.0328
3552,0.139
3553,0.0807
3554,0.0633
3555,0.356
3556,0.0188
3557,0.0883
3558,0.0195
3559,0.1036
3560,0.0868
3561,0.3241
3564,0.0291
3565,0.043
3566,0.0897
3567,0.012
3568,0.0171
3569,0.0451
3570,0.008
3581,0.0137
3582,0.0152
3583,0.036
3584,0.0331
3585,0.2008
3587,0.0263
3589,0.0206
3590,0.0465
3591,0.0715
3592,0.0634
3593,0.0113
3599,0.0136
3600,0.0697
3601,0.0411
3605,0.285
3606,0.0134
3607,0.17
3608,0.0129
3609,0.02
3610,0.0349
3611,0.0246
3615,0.7705
3617,0.0647
