NORAD_CAT_ID,RCS,SOURCE
1952,1.49,39
1953,0.64,21
1959,0.022,20
1961,0.047,17
1964,0.07,5
1982,0.71,23
1983,0.6,24
2009,0.21,7
2011,0.027,21
2016,1.28,19
2017,0.76,17
2050,0.07,8
2088,0.03,14
2091,0.8,19
2092,0.1,11
2096,0.53,17
2097,0.016,13
2118,0.041,14
2119,1.35,27
2120,0.64,20
2121,0.52,14
2122,0.98,19
2123,0.95,18
2124,0.94,22
2125,0.65,20
2140,0.049,16
2141,0.044,16
2142,11.2,28
2144,6.24,51
2150,0.78,18
2153,0.11,8
2154,0.008,10
2173,2.01,26
2174,5.21,59
2176,1.25,35
2177,0.04,21
2180,0.66,21
2201,0.81,14
2206,0.79,18
2207,0.89,4
2215,0.18,5
2216,0.31,2
2217,0.17,2
2218,0.12,3
2219,5.11,2
2220,0.14,4
2221,0.32,3
2222,2.34,4
2223,0.07,10
2224,0.08,11
2226,0.049,22
2255,7.01,55
2256,1.27,34
2327,0.28,17
2328,1,28
2329,0.11,9
2334,0.08,9
2337,0.38,14
2353,0.048,19
2359,0.17,6
2361,0.45,12
2362,0.24,9
2364,0.38,15
2365,0.35,6
2366,0.12,8
2367,0.14,4
2371,0.12,4
2372,0.22,6
2375,0.15,9
2377,0.19,5
2378,0.27,4
2379,0.14,6
2380,0.18,3
2381,0.28,8
2386,0.048,4
2389,0.7,15
2401,1.54,30
2403,10.2,29
2411,0.26,7
2412,0.37,12
2413,0.64,28
2418,0.59,21
2422,1.79,28
2431,0.22,8
2432,0.15,11
2435,0.8,18
2436,0.53,13
2481,17.7,44
2498,0.026,15
2511,1.1,16
2514,1.31,26
2516,0.049,11
2518,0.08,9
2520,0.33,11
2529,0.57,9
2530,0.17,3
2531,0.17,3
2532,0.14,1
2580,0.009,20
2608,6.45,4
2610,0.66,20
2620,0.023,16
2621,1.24,25
2622,1.12,26
2639,2.84,2
2643,0.81,14
2644,0.047,13
2645,0.3,2
2647,0.05,11
2649,0.28,4
2650,0.67,2
2651,0.2,1
2653,0.79,3
2654,0.5,1
2655,0.32,3
